soru,cevap
Şike ve teşvik primi suçlarının birden fazla işlenmesi durumunda hangi hükümler uygulanır?,Şike ve teşvik primi suçlarının bir suç işleme kararının icrası kapsamında birden fazla işlenmesi halinde zincirleme suç hükümleri uygulanır.
Zincirleme suç hükümleri uygulandığında ceza nasıl artırılır?,"Zincirleme suç hükümleri uygulandığında, en ağır cezayı gerektiren fiilden dolayı verilecek ceza dörtte birinden dörtte üçüne kadar artırılarak tek cezaya hükmolunur."
"Şike ve teşvik suçu işlendiğinde, suçun spor kulüpleri veya tüzel kişiler yararına işlenmesi durumunda hangi ek yaptırımlar uygulanır?","Şike ve teşvik suçu spor kulüpleri veya tüzel kişiler yararına işlendiğinde, yukarıdaki cezalara ek olarak idari para cezası verilir."
Şike ve teşvik primi suçundan cezalandırılan bir kişi hangi durumlarda spor kulüplerinin yönetim ve denetim organlarında görev yapmaktan yasaklanır?,"Şike ve teşvik primi suçundan cezalandırılan bir kişi, bu suçlardan dolayı spor kulüplerinin, federasyonların ve tüzel kişilerin yönetim ve denetim organlarında görev yapmaktan yasaklanır."
"Her federasyon, şike ve teşvik suçu ile ilgili cezalara ek olarak ne tür idari yaptırımlar uygulayabilir?","Her federasyon, şike ve teşvik suçu ile ilgili cezalara ek olarak kendi mevzuatlarında yer alan idari yaptırımları uygulayabilir."
"TFF'nin Futbol Disiplin Talimatı'na göre, kulüp yöneticileri tarafından gerçekleştirilen ihlallerde hangi ceza uygulanabilir?","TFF'nin Futbol Disiplin Talimatı'na göre, ihlaller kulüp yöneticileri tarafından gerçekleştirilmişse, ilgili kulüplere bir alt lige düşürme cezası uygulanabilir."
Teşebbüs halinde şike veya teşvik suçu işleyen kişilere ne tür cezalar verilebilir?,Teşebbüs halinde şike veya teşvik suçu işleyen kişilere 1 yıldan 3 yıla kadar müsabakadan men veya hak mahrumiyeti cezası verilebilir.
6222 sayılı kanunun 23. maddesinde hangi konular düzenlenmiştir?,6222 sayılı kanunun 23. maddesinde yargılama ve usul hükümleri düzenlenmiştir.
Şike ve teşvik primi suçunun ortaya çıkarılması için hangi yöntemler kullanılabilir?,"Şike ve teşvik primi suçunun ortaya çıkarılması için şüpheli veya sanığın Ceza Muhakemesi Kanununun 135 inci maddesinde düzenlenen telekomünikasyon yoluyla iletişimi dinlenebilir, kayda alınabilir ve sinyal bilgileri değerlendirilebilir."
6222 sayılı kanun kapsamındaki idari para cezası ve diğer idari yaptırımlar kim tarafından verilir?,6222 sayılı kanun kapsamındaki idari para cezası ve diğer idari yaptırım kararları Cumhuriyet savcısı tarafından verilebilir.
Şike ve teşvik primi suçlarından dolayı yargılama yapmaya hangi mahkemeler yetkilidir?,Şike ve teşvik primi suçlarından dolayı yargılama yapmaya Hâkimler ve Savcılar Kurulunun ihtisas mahkemesi olarak görevlendireceği Asliye Ceza Mahkemeleri yetkilidir.
Aile ve kişiler hukukuna ilişkin mahkeme kararlarının kesinleşmeden icraya konulamamasının temel nedeni nedir?,"Aile ve kişiler hukukuna ilişkin mahkeme kararlarının kesinleşmeden icraya konulamamasının temel nedeni, bu tür uyuşmazlıkların aileye ilişkin oldukça hassas konular olması ve olası hatalara mahal vermemektir."
Hangi tür mahkeme kararları kesinleşmeden icraya konulamaz?,"Kesinleşmeden icraya konulamayacak mahkeme kararları, tarafların şahsi ya da ailevi yapılarına ilişkin hukuki durumlarında ve bunlara ilişkin sicil ve kayıtlarda bir değişiklik yaratan kararlardır."
Boşanma ve bunun fer'i niteliğindeki hükümler için icraya başvurabilmek için ne gerekmektedir?,Boşanma ve bunun fer'i niteliğindeki hükümler için icraya başvurabilmek için ilamların kesinleşmiş olması gerekmektedir.
Kesinleşmeden icraya konulabilen mahkeme kararlarına bir örnek veriniz.,Kesinleşmeden icraya konulabilen mahkeme kararlarına örnek olarak nafaka mahkeme kararı verilebilir.
Tarafların şahsi ya da ailevi yapılarına ilişkin hukuki durumlarında değişiklik yaratmayan mahkeme kararları ne şekilde icraya konulabilir?,Tarafların şahsi ya da ailevi yapılarına ilişkin hukuki durumlarında değişiklik yaratmayan mahkeme kararları kesinleşmeden icraya konulabilir.
"Ayni hakların tanımı ve kapsamı nedir, özellikle taşınmaz mallar açısından?","Ayni haklar, herkese karşı ileri sürülebilen haklardır ve taşınmaz malların aynına ilişkin haklar, mülkiyet, irtifa ve intifa hakları gibi haklardan oluşmaktadır."
HMK’nın 367/2 maddesi uyarınca taşınmaz mal ile ilgili ayni haklara ilişkin kararların icraya konulabilmesi için hangi şartın sağlanması gerekmektedir?,"HMK’nın 367/2 maddesi uyarınca, taşınmaz mal ile ilgili ayni haklara ilişkin kararlar kesinleşmedikçe cebri icra yoluna başvurulamaz."
Tapu İptal ve Tescil Davası'nda verilen hükmün icraya konu edilmesi için hangi durum geçerlidir?,Tapu İptal ve Tescil Davası'nda verilen hüküm kesinleşmeden icraya konu edilemez.
"Ecrimisil, müdahalenin meni veya kira sözleşmelerinden kaynaklanan uyuşmazlıklarda mahkeme kararlarının icraya konu edilmesi için ne gerekmektedir?","Ecrimisil, müdahalenin meni veya kira sözleşmelerinden kaynaklanan uyuşmazlıklarda verilen mahkeme kararlarının icraya konu edilmesi için kesinleşme zorunluluğu yoktur."
Yargıtay 12. Hukuk Dairesi'nin 22.10.2019 tarihli kararında hangi durumlar ele alınmıştır?,"Yargıtay 12. Hukuk Dairesi'nin kararında, tapu iptal ve tescil davasında gayrimenkulün aynına ilişkin uyuşmazlıkların bulunduğu ve bu nedenle ilamın kesinleşmeden infaz edilemeyeceği belirtilmiştir."
Hizmet tespit davasında verilen mahkeme kararlarının icra edilebilmesi için hangi şartın sağlanması gerekmektedir?,Hizmet tespit davasında verilen mahkeme kararlarının icra edilebilmesi için kararın kesinleşmesi şarttır.
"İş Mahkemeleri Kanunu m. 7/4 hükmüne göre, SGK'nın hangi durumda karar uygulama yükümlülüğü bulunmaktadır?","İş Mahkemeleri Kanunu m. 7/4 hükmüne göre, SGK'nın karar uygulama yükümlülüğü, yargılama sonucu verilecek kararın kesinleşmesi durumunda bulunmaktadır."
Hizmet tespit davasında verilen kararların hangi unsurları kesinleşmeden cebri icraya konu edilemez?,Hizmet tespit davasında verilen kararların vekalet ücreti ve yargılama gideri gibi fer'i unsurları kesinleşmeden cebri icraya konu edilemez.
"SGK'nın, hizmet akdine tabi çalışmaları nedeniyle zorunlu sigortalılık sürelerinin tespiti talebiyle açılan davalarda hangi aşamadan sonra karar uygulaması yapması gerekmektedir?","SGK'nın, hizmet akdine tabi çalışmaları nedeniyle zorunlu sigortalılık sürelerinin tespiti talebiyle açılan davalarda, karar kesinleştikten sonra karar uygulaması yapması gerekmektedir."
Kira bedelinin tespitine ilişkin mahkeme kararlarının icra takibine konu olabilmesi için hangi şartın sağlanması gerekmektedir?,Kira bedelinin tespitine ilişkin mahkeme kararlarının icra takibine konu olabilmesi için kararın kesinleşmesi gerekmektedir.
"Yargıtay’ın 12.11.1979 tarihli kararına göre, kira bedelinin tespitine ilişkin kararlar kesinleşmeden hangi tür icra yoluna başvurulamaz?","Yargıtay’ın 12.11.1979 tarihli kararına göre, kira bedelinin tespitine ilişkin kararlar kesinleşmeden cebri icra yoluna başvurulamaz."
Kira bedeli tespitine ilişkin mahkeme kararlarında hangi unsurlar ilamlı icra takibine konu edilebilir?,Kira bedeli tespitine ilişkin mahkeme kararlarında vekâlet ücreti ve yargılama gideri ilamlı icra takibine konu edilebilir.
Kira tespit davası ile kira bedelinin uyarlanması davası arasındaki farkları öğrenmek için hangi makaleye başvurulması önerilmektedir?,Kira tespit davası ile kira bedelinin uyarlanması davası arasındaki farkları öğrenmek için 'Kira Tespit Davası ile Kira Bedelinin Uyarlanması Davasının Farkları' isimli makaleye başvurulması önerilmektedir.
MÖHUK'un 50. maddesinde tenfiz ile ilgili olarak hangi durumlar açıklanmaktadır?,"MÖHUK'un 50. maddesinde tenfiz, yabancı ülkede alınmış bir kararın Türkiye’de bağlayıcı özellik kazanması olarak açıklanmaktadır."
Tenfiz edilmeyen ilamların Türkiye'deki durumu nedir?,Tenfiz edilmeyen hiçbir ilamın Türkiye’de geçerliliği yoktur.
Yabancı mahkemelerden alınan ilamların Türkiye'de icra edilebilmesi için hangi şartın sağlanması gerekmektedir?,Yabancı mahkemelerden alınan ilamların Türkiye'de icra edilebilmesi için tenfiz kararı verilmesi gerekmektedir.
Türkiye Cumhuriyeti Anayasası'nın 9. maddesinde yargı yetkisi ile ilgili olarak ne ifade edilmektedir?,"Türkiye Cumhuriyeti Anayasası'nın 9. maddesinde yargı yetkisi, Türk Milleti adına bağımsız ve tarafsız mahkemelerce kullanılır şeklinde ifade edilmektedir."
Küreselleşmenin etkisiyle Türk yargısının yetkisi olmayan uyuşmazlıklarda ne tür bir işlem gerekmektedir?,"Küreselleşmenin etkisiyle Türk yargısının yetkisi olmayan uyuşmazlıklarda, yabancı mahkemeler tarafından verilen kararların Türkiye’de icra edilebilir olması için tenfiz kararının kesinleşmesinin beklenilmesi zorunludur."
İcra ve İflas Kanunu’nun 72. maddesinin 4 ve 5. fıkralarına göre menfi tespit davalarında verilen kararın icraya konulabilmesi için hangi şartın sağlanması gerekmektedir?,Menfi tespit davalarında verilen kararın icraya konulabilmesi için kararın kesinleşmesi gerekmektedir.
"İstirdat davasında menfi tespit davasından dönüşen bir durumda, kararın icraya konu edilebilmesi için hangi koşulun yerine getirilmesi gerekmektedir?",Menfi tespit davasından dönüşen istirdat davasında verilen kararın icraya konu edilebilmesi için kararın kesinleşmesi gerekmektedir.
Menfi tespit davası açılmadan cebri icra tehdidi altında ödenen paranın iadesi için açılan istirdat davasında ilamın kesinleşmesi şartı var mıdır?,Menfi tespit davası açılmadan cebri icra tehdidi altında ödenen paranın iadesi için açılan istirdat davasında ilamın kesinleşmesi şart değildir.
"Yargıtay Hukuk Genel Kurulu'nun kararına göre, menfi tespit davasının reddi durumunda ilamın niteliği nedir?","Menfi tespit davasının reddi durumunda ilam, eda hükmünü içeren bir ilam değildir."
Menfi tespit davasının kabulü halinde icranın eski hâle getirilebilmesi için hangi şartın sağlanması gerekmektedir?,Menfi tespit davasının kabulü halinde icranın eski hâle getirilebilmesi için kararın kesinleşmesi gerekmektedir.
"Sayıştay Kanunu’nun 53. Maddesi, Sayıştay ilamlarının kesinleşmeden hangi durumu öngörmektedir?","Sayıştay Kanunu’nun 53. Maddesi, Sayıştay ilamlarının kesinleşmeden cebri icra yoluna başvurulamayacağını öngörmektedir."
Sayıştay ilamlarının yerine getirilmesi için belirlenen süre nedir ve bu sürenin başlangıcı neye dayanmaktadır?,"Sayıştay ilamlarının yerine getirilmesi için belirlenen süre, ilamların kesinleşmesinden sonra doksan gündür ve bu süre ilamların kesinleşme tarihine dayanmaktadır."
Sayıştay ilamlarının yerine getirilmesinden kimler sorumludur?,"Sayıştay ilamlarının yerine getirilmesinden, ilamların gönderildiği kamu idarelerinin üst yöneticileri sorumludur."
Sayıştay ilamlarında belirtilen tazmin miktarının tahsil edilme süreci nasıl işlemektedir?,"Sayıştay ilamlarında belirtilen tazmin miktarı, hüküm tarihinden itibaren kanuni faize tabi tutularak, 9/6/1932 tarihli ve 2004 sayılı İcra ve İflas Kanunu hükümlerine göre tahsil edilmektedir."
"Ceza hukukunda vekalet ücreti, yargılama gideri ve tazminat hangi durumlarda sanık veya kamu üzerine bırakılmaktadır?","Ceza hukukunda vekalet ücreti, yargılama gideri ve tazminat, esas kararın niteliğine göre sanık veya kamu üzerine bırakılmaktadır. Özellikle Hagb ve mahkûmiyet gibi hallerde bu alacak kalemleri sanık üzerine, beraat halinde ise kamu üzerine bırakılmaktadır."
Ceza Güvenlik Tedbirlerinin İnfazı Hakkında Kanunun 4. Maddesi'ne göre mahkûmiyet hükümleri ne zaman infaz edilebilir?,Ceza Güvenlik Tedbirlerinin İnfazı Hakkında Kanunun 4. Maddesi'ne göre mahkûmiyet hükümleri kesinleşmedikçe infaz olunamaz.
Mahkûmiyet halinde hükmedilen vekalet ücreti ve yargılama gideri kararları ne zaman icra edilebilir?,"Mahkûmiyet halinde hükmedilen vekalet ücreti ve yargılama gideri kararları, kesinleşmeden icra edilemeyecektir."
Mahkûmiyet dışındaki hükümlerde alacak kalemlerinin kesinleşmesi için ne beklenilmesi gerekmektedir?,Mahkûmiyet dışındaki hükümlerde yer alan alacak kalemlerinin kesinleşmesinin beklenilmesine gerek yoktur.
Uygulamada ceza yargılamasına ilişkin her kararın kesinleşmesi neden aranmaktadır?,"Uygulamada ceza yargılamasına ilişkin her kararın kesinleşmesi aranmaktadır çünkü bu, yargılamanın güvenilirliğini ve hukukun üstünlüğünü sağlamak açısından önemlidir."
İstihkak iddiasının kabulü ne tür bir kararı ifade eder ve bu kararın icraya konulma durumu nedir?,"İstihkak iddiasının kabulü, mülkiyetin aidiyetinin tespiti yönelik bir karardır ve bu kararın kesinleşmeden icraya konulması mümkün değildir."
Kesinleşmeyen istihkak iddiasının kabulü kararı ile hangi hukuki yola başvurulamaz?,Kesinleşmeyen istihkak iddiasının kabulü kararı ile icra yoluna başvurulamaz.
İstihkak iddiasının reddine ilişkin kararlarda hangi alacakların kesinleşmeden cebri icraya konulması mümkündür?,İstihkak iddiasının reddine ilişkin kararlarda hüküm altına yargılama giderleri ve vekâlet ücreti gibi alacakların kesinleşmeden cebri icraya konulması mümkündür.
Gemilere dair uyuşmazlıklarda ilamın kesinleşmesi neden önemlidir?,"Gemilere dair uyuşmazlıklarda ilamın kesinleşmesi, cebri icra yoluna başvurulabilmesi için gereklidir."
Gemilere ilişkin hangi tür ilamların kesinleşmesi gerekmektedir?,"Gemilere ilişkin ilamların kesinleşmesi, yalnızca geminin ayni haklarına değil, geminin kiralanması, işletilmesi ve teslimi gibi durumları da kapsamaktadır."
Cebri icra yoluna başvurulmadan önce hangi şartın sağlanması gerekmektedir?,Cebri icra yoluna başvurulmadan önce ilamın kesinleşmesi şartının sağlanması gerekmektedir.
İlamların kesinleşmeden icraya konulup konulamayacağını kontrol yükümlülüğü kime aittir?,İlamların kesinleşmeden icraya konulup konulamayacağını kontrol yükümlülüğü icra müdürüne aittir.
Kesinleşmeden icra edilemeyecek ilam ile icra emri gönderilmesi talebinde bulunulursa icra müdürü ne yapmalıdır?,"Kesinleşmeden icra edilemeyecek ilam ile icra emri gönderilmesi talebinde bulunulursa, icra müdürü bu talebi reddetmelidir."
İcra müdürünün dikkatsizliği nedeniyle icra emri gönderilmesi durumunda borçlunun hangi hakkı vardır?,İcra müdürünün dikkatsizliği nedeniyle icra emri gönderilmesi durumunda borçlunun süresiz şikâyet hakkı vardır.
"Borçlu, takibin açıldığı yer İcra Hukuk Mahkemesine yapacağı şikâyet ile neyi sağlayabilir?","Borçlu, takibin açıldığı yer İcra Hukuk Mahkemesine yapacağı şikâyet ile takibin iptalini sağlayabilir."
İcra takibinin kesinleşmesi sonrasında borçlu borcunu ödemezse ne olur?,"İcra takibinin kesinleşmesi sonrasında borçlu borcunu ödemezse, malları haczedilir."
Hacizli malların satışı sonucunda elde edilen tutar her zaman alacak miktarını karşılar mı?,"Hacizli malların satışı sonucunda elde edilen tutar, her zaman alacak miktarını karşılamaya yetmeyebilir."
Tek bir alacaklı varsa ve satış sonucu elde edilen tutar bu alacağı karşılamıyorsa ne yapılır?,"Tek bir alacaklı varsa ve satış sonucu elde edilen tutar bu alacağı karşılamıyorsa, sıra cetveli düzenlenmez ve alacaklıya aciz belgesi verilir."
Birden fazla alacaklı varsa ve satış sonucunda elde edilen tutar bu alacaklıların alacağını karşılamıyorsa ne olur?,"Birden fazla alacaklı varsa ve satış sonucunda elde edilen tutar bu alacaklıların alacağını karşılamıyorsa, icra müdürü tarafından re’sen sıra cetveli düzenlenir."
Sıra cetvelinin düzenlenmesi İİK madde 206'da nasıl belirlenmiştir?,"Sıra cetvelinin düzenlenmesi İİK madde 206'da, rehinli alacaklıların alacakları, devletin vergi alacakları, imtiyazlı alacaklar ve imtiyazsız alacaklar sırasıyla ödeneceği şeklinde belirlenmiştir."
Sıra cetveline karşı şikayet veya itiraz süresi ne kadardır?,"Sıra cetveline karşı şikayet veya itiraz süresi, tebliğden itibaren 7 gündür."
Sıra cetveli kesinleşmeden alacaklılara ödeme yapılabilir mi?,"Kural olarak, sıra cetveli kesinleşmeden alacaklılara ödeme yapılamaz."
Sıra cetveline karşı itiraz olunsa bile alacaklının payına düşen miktarı tahsil etmesi için ne gereklidir?,"Sıra cetveline karşı itiraz olunsa bile alacaklının payına düşen miktarı tahsil etmesi için, İİK m.142/a uyarınca, herhangi bir bankanın kesin teminat mektubunun alacaklı tarafından dosyaya sunulması gereklidir."
İcra müdürü sıra cetvelini hazırlarken hangi durumlarda ilgililer şikayet yoluna başvurabilirler?,"İcra müdürü sıra cetvelini hazırlarken takip hukukuna aykırı hareket ederse, ilgililer şikayet yoluna başvurabilirler."
İİK madde 16'nın şikayet yoluna başvuru ile ilgili düzenlemesi nedir?,İİK madde 16'da icra ve iflas dairelerinin işlemlerinin kanuna aykırı olması sebebiyle icra mahkemeleri nezdinde şikayet yoluna başvurulabileceği düzenlenmiştir.
Sıra cetvelinin kesinleşmemesi durumunda alacaklılara ne yapılması gerektiği belirtilmiştir?,Sıra cetveli kesinleşmediği müddetçe alacaklılara ödeme yapılamaz.
İcra müdürünün sıra cetvelini kesinleşmeksizin paraların paylaştırılması aşamasına geçmesi durumunda ne yapılmalıdır?,İcra müdürünün sıra cetvelini kesinleşmeksizin paraların paylaştırılması aşamasına geçmesi durumunda bu husus şikayet başvurusu ile icra mahkemesine taşınabilir.
"Alacaklı, bulunduğu sıraya ilişkin olarak hangi durumlarda şikayet yoluna başvurabilir?","Alacaklı, bulunduğu sıraya ilişkin olarak şikayet yoluna başvurabilir; özellikle istediği sıraya kabul edilmemesi halinde İİK madde 142/3 uyarınca şikayet etme hakkı bulunmaktadır."
Sıra cetveline itirazın sebebi ne olabilir ve bu itiraz hangi mahkemelerde yapılmalıdır?,"Sıra cetveline itirazın sebebi, sıra cetveline alınmış bir alacaklının alacağına ilişkin olabilir. Bu durumda, itiraz genel mahkemelerde yapılmalıdır."
Bir alacaklının sıra cetvelinde yer alan sırasına itiraz etmesi durumunda hangi mahkemeye başvurması gerekir?,Bir alacaklının sıra cetvelinde yer alan sırasına itiraz etmesi durumunda icra mahkemesine şikayet yoluna başvurması gerekir.
"Eğer bir alacaklı, alacağının sıra cetvelinde yanlış bir sırada yer aldığını iddia ediyorsa, hangi mahkemeye başvurmalıdır?","Eğer bir alacaklı, alacağının sıra cetvelinde yanlış bir sırada yer aldığını iddia ediyorsa, icra mahkemesine başvurmalıdır."
Üçüncü sırada yer alan bir alacaklının alacağının dördüncü sırada yer aldığına dair iddiası hangi mahkemede değerlendirilecektir?,Üçüncü sırada yer alan bir alacaklının alacağının dördüncü sırada yer aldığına dair iddiası genel mahkemelerde değerlendirilecektir.
İflas tasfiyesinde sıra cetveli düzenlenmesinin zorunlu olmasının nedeni nedir?,"İflas tasfiyesinde sıra cetveli düzenlenmesinin zorunlu olmasının nedeni, haciz yoluyla takipten farklı olarak iflas dairesinin durumu icra mahkemesine bildirmesi durumunda iflas idaresi üyelerinin görevine son verilmesidir."
"Alacaklılar, adi ve basit tasfiyede alacaklarını nereye bildirirler?","Alacaklılar, adi tasfiyede iflas idaresine, basit tasfiyede ise iflas müdürlüğüne alacaklarını bildirirler."
"İflas idaresi, alacakların kabulü sürecinde hangi bilgileri tespit eder?","İflas idaresi, alacakların var olup olmadığını ve alacağını bildiren kişinin gerçekten alacaklı olup olmadığını tespit eder."
Sıra cetveline karşı itiraz davası açma hakkı kimlere aittir?,"Sıra cetveline karşı itiraz davası açma hakkı, iflas idaresi tarafından kabul edilmeyen veya kısmen kabul edilen alacaklılara ve bir başka alacaklının alacağına veya sırasına karşı koymak isteyen alacaklılara aittir."
Sıra cetveline karşı itiraz davası hangi mahkemede açılmalıdır?,"Sıra cetveline karşı itiraz davası, iflasa karar verilen yerdeki Asliye Ticaret Mahkemesinde açılmalıdır."
İflas idaresinin sıra cetvelini düzenlerken uyması gereken kurallar nelerdir?,"İflas idaresinin sıra cetvelini düzenlerken uyması gereken kurallar, iflas hukuku kurallarına uymasıdır; aksi takdirde sıra cetveline karşı şikayet yoluna başvurulabilir."
"Alacaklı, alacağının reddi veya kısmen kabulü durumunda ne yapmalıdır?","Alacaklı, alacağının reddi veya kısmen kabulü durumunda sıra cetveline karşı itiraz davası açmalıdır."
Sıra cetvelini hazırlarken hangi hukuka uygun hareket edilmesi gerekmektedir?,Sıra cetvelini hazırlarken takip hukukuna uygun hareket edilmesi gerekmektedir.
İcra müdürünün sıra cetvelini hazırlarken hukuka aykırı hareket etmesi durumunda ne yapılabilir?,"İcra müdürünün hukuka aykırı hareket etmesi durumunda, İcra Mahkemesinde şikayet yoluna başvurulabilir."
Alacaklıların sıra cetvelinde yer alan bir başka alacaklıya karşı hangi yola başvurulabilir?,"Alacaklılar, sıra cetvelinde yer alan bir başka alacaklıya karşı itiraz yoluna başvurulabilir."
Sıra cetveline itiraz davalarında görevli mahkeme hangisidir?,Sıra cetveline itiraz davalarında görevli mahkeme Asliye Hukuk Mahkemeleridir.
Sıra cetvelini düzenleyen icra dairesinin bulunduğu yer mahkemesi hangi tür mahkemedir?,Sıra cetvelini düzenleyen icra dairesinin bulunduğu yer mahkemesi yetkili mahkemedir.
Alacaklıyı zarara uğratma suçunun oluşabilmesi için hangi koşulların bir arada bulunması gerekmektedir?,Alacaklıyı zarara uğratma suçunun oluşabilmesi için kanunda öngörülen durumlardan birinin ya da birden fazlasının bir arada var olması gerekmektedir.
İcra ve İflas Kanunu m.331'de alacaklıyı zarara uğratma suçunun cezaları nasıl düzenlenmiştir?,"İcra ve İflas Kanunu m.331'de alacaklıyı zarara uğratma suçunun cezaları, altı aydan üç yıla kadar hapis ve bin güne kadar adlî para cezası ile düzenlenmiştir."
Alacaklıyı zarara uğratma maksadıyla gerçekleştirilebilecek eylemler nelerdir?,"Alacaklıyı zarara uğratma maksadıyla gerçekleştirilebilecek eylemler arasında mallarını mülkünden çıkarmak, malları telef etmek veya değerini düşüren eylemlerde bulunmak, hileli anlaşma düzenlemek ve var olmayan borçları var gibi göstermek yer almaktadır."
İflas takibinde alacaklıyı zarara uğratma suçunun uygulanabilirliği hakkında ne söylenebilir?,"İflas takibinde alacaklıyı zarara uğratma suçunun uygulanabilirliği açısından, yukarıda sayılan fiillerden en az birinin gerçekleşmesi halinde, başka bir suçun maddi unsurları oluşmuş olsa dahi aynı hükümler uygulanır."
İİK m.331’in 3. fıkrası hangi durumları kapsamaktadır?,"İİK m.331’in 3. fıkrası, konkordato mühleti veya iflasın ertelenmesi talebinden önceki iki yıl içinde ya da bu taleplerden sonra birinci fıkradaki fiilleri işleyen borçlu hakkında da aynı hükümler uygulanacağını belirtmektedir."
Alacaklıyı zarara uğratma suçunun oluşabilmesi için borçlunun hangi niyetle hareket etmesi gerekmektedir?,Alacaklıyı zarara uğratma suçunun oluşabilmesi için borçlunun 'alacaklıyı zarara sokmak kastıyla ve kötü niyetli olarak' hareket etmesi gerekmektedir.
Alacaklıyı zarara uğratma suçunun cezası ne kadar süreyle hapis cezası ve para cezası olarak belirlenmiştir?,"Alacaklıyı zarara uğratma suçunun cezası, 6 aydan 3 yıla kadar hapis ve bin güne kadar para cezası olarak belirlenmiştir."
"Mahkeme, borçluya verilecek ceza miktarını nasıl belirlemektedir?","Mahkeme, borçluya verilecek ceza miktarını somut olaya ve suçun ağırlığına göre belirlemektedir."
Alacaklıyı zarara uğratma suçunun maddi ve manevi unsurlarının oluşması ne anlama gelmektedir?,"Alacaklıyı zarara uğratma suçunun maddi ve manevi unsurlarının oluşması, suçun tipikliğe uyması ve borçlunun kötü niyetli hareket etmesi anlamına gelmektedir."
Alacaklıyı zarara uğratma suçunun tanımları arasında hangi iki ana tür bulunmaktadır?,Alacaklıyı zarara uğratma suçunun tanımları arasında alacaklıdan mal kaçırmak suretiyle zarara uğratmak ve mevcudu eksiltmek yolu ile zarara uğratmak bulunmaktadır.
"Borçlu, alacaklıyı zarara uğratma suçunu işlerken hangi niyetle hareket etmektedir?","Borçlu, alacaklıyı zarara uğratma suçunu işlerken borcunu ödememe kastı ile hareket etmektedir."
Haciz işlemlerinden önce borçlunun hangi tür hareketleri alacaklıyı zarara uğratma suçunu oluşturmaktadır?,Haciz işlemlerinden önce borçlunun haczin gerçekleşmemesi için haczi kabil olan mallarını kaçırmaya yönelik tüm hareketleri alacaklıyı zarara uğratma suçunu oluşturmaktadır.
Alacaklıdan mal kaçırma suçunun zamanaşımı süresi ne kadardır ve hangi maddeye göre belirlenmiştir?,Alacaklıdan mal kaçırma suçunun zamanaşımı süresi on yıldır ve bu süre TCK. m.68 uyarınca belirlenmiştir.
Alacaklıyı zarara uğratma suçunun zamanaşımı süresi ne kadardır ve hangi maddeye göre düzenlenmiştir?,Alacaklıyı zarara uğratma suçunun zamanaşımı süresi sekiz yıldır ve bu süre Türk Ceza Kanunu m.66’ya göre düzenlenmiştir.
Alacaklıdan mal kaçırma suçunun zamanaşımı süresi ne kadardır ve bu süre içinde ne yapılması gerekmektedir?,Alacaklıdan mal kaçırma suçunun zamanaşımı süresi 8 yıldır ve alacaklının bu süre içerisinde başvurusunu yapması gerekmektedir.
Ceza zamanaşımı süresi alacaklıdan mal kaçırma suçu için ne kadardır ve bu durum nasıl bir etki yaratır?,"Ceza zamanaşımı süresi alacaklıdan mal kaçırma suçu için 10 yıldır, bu durum alacaklının suçla ilgili ceza davası açma süresini etkiler."
Alacaklının zarara uğradığını iddia edebilmesi için hangi şartın sağlanması gerekmektedir?,Alacaklının zarara uğradığını iddia edebilmesi için öncelikle borçlu aleyhine icra takibi başlatılmış olması gerekmektedir.
"TCK m.67'de belirtilen zamanaşımını durduran haller, alacaklıdan mal kaçırma suçu için geçerli midir?","Evet, TCK m.67'deki zamanaşımını durduran bazı haller, alacaklıdan mal kaçırma suçu bakımından da geçerlidir."
Alacaklıyı zarara uğratma suçunun şikayete bağlı olmasının anlamı nedir?,"Alacaklıyı zarara uğratma suçunun şikayete bağlı olması, bu suçun ancak mağdurun şikayeti ile soruşturulabileceği anlamına gelir; savcılık, şikayet olmaksızın bu suçu re’sen soruşturamaz."
Alacaklıyı zarara uğratma suçunda uzlaşma yolunun uygulanabilirliği hakkında ne söylenebilir?,"Alacaklıyı zarara uğratma suçunda uzlaşma yolunun uygulanabilirliği açısından mevzuatta herhangi bir engel yoktur, ancak yerleşik içtihatlarda icra suçlarına ilişkin uzlaştırma kurumunun uygulanmasına gerek olmadığı belirtilmektedir."
İcra ve İflas Kanunu m.354 gereği şikayet hakkı olan kişinin şikayetinden vazgeçmesi durumunda ne olur?,"İcra ve İflas Kanunu m.354 gereği, şikayet hakkı olan kişi şikayetinden vazgeçerse veya borç ödenirse, dava diğer tüm neticeleri ile düşer."
İnfaz aşamasında şikayetten vazgeçmenin sonuçları nelerdir?,"İnfaz aşamasında şikayetten vazgeçildiğinde veya borcun tahsil edilmesi halinde, infaz derhal durdurulur."
Şikayetten vazgeçme süreci hakkında daha fazla bilgiye nereden ulaşılabilir?,"Şikayetten vazgeçme süreci hakkında daha fazla bilgiye, 'Şikâyet Hakkı ve Şikâyetten Vazgeçme' başlıklı makaleden ulaşılabilir."
Alacaklıyı zarara uğratma suçu durumunda alacaklının ne yapması gerekmektedir?,"Alacaklıyı zarara uğratma suçu durumunda alacaklının, sözlü ya da yazılı olarak şikayette bulunması gerekmektedir."
Alacaklıyı zarara uğratma suçunda hangi mahkeme yetkilidir?,"Alacaklıyı zarara uğratma suçunda yetkili mahkeme, takibin başlatıldığı yerdeki İcra Ceza Mahkemeleridir."
